date,material_id,units_used,current_stock
2024-03-17,MAT_01,477,4202
2024-03-18,MAT_01,499,3703
2024-03-19,MAT_01,561,3142
2024-03-20,MAT_01,551,2591
2024-03-21,MAT_01,504,2087
2024-03-22,MAT_01,480,1607
2024-03-23,MAT_01,475,1132
2024-03-24,MAT_01,433,699
2024-03-25,MAT_01,474,6219
2024-03-26,MAT_01,532,5687
2024-03-27,MAT_01,596,5091
2024-03-28,MAT_01,583,4508
2024-03-29,MAT_01,488,4020
2024-03-30,MAT_01,464,3556
2024-03-31,MAT_01,427,3129
2024-04-01,MAT_01,535,2594
2024-04-02,MAT_01,568,2026
2024-04-03,MAT_01,530,1496
2024-04-04,MAT_01,454,1042
2024-04-05,MAT_01,425,6611
2024-04-06,MAT_01,414,6197
2024-04-07,MAT_01,499,5698
2024-04-08,MAT_01,561,5137
2024-04-09,MAT_01,528,4609
2024-04-10,MAT_01,541,4068
2024-04-11,MAT_01,535,3533
2024-04-12,MAT_01,472,3061
2024-04-13,MAT_01,476,2585
2024-04-14,MAT_01,429,2156
2024-04-15,MAT_01,535,1621
2024-04-16,MAT_01,534,1087
2024-04-17,MAT_01,588,6493
2024-04-18,MAT_01,511,5982
2024-04-19,MAT_01,444,5538
2024-04-20,MAT_01,512,5026
2024-04-21,MAT_01,490,4536
2024-04-22,MAT_01,422,4114
2024-04-23,MAT_01,522,3592
2024-04-24,MAT_01,599,2993
2024-04-25,MAT_01,469,2524
2024-04-26,MAT_01,495,2029
2024-04-27,MAT_01,458,1571
2024-04-28,MAT_01,414,1157
2024-04-29,MAT_01,488,6663
2024-04-30,MAT_01,451,6212
2024-05-01,MAT_01,616,5596
2024-05-02,MAT_01,500,5096
2024-05-03,MAT_01,491,4605
2024-05-04,MAT_01,450,4155
2024-05-05,MAT_01,491,3664
2024-05-06,MAT_01,465,3199
2024-05-07,MAT_01,536,2663
2024-05-08,MAT_01,561,2102
2024-05-09,MAT_01,540,1562
2024-05-10,MAT_01,498,1064
2024-05-11,MAT_01,400,6658
2024-05-12,MAT_01,403,6255
2024-05-13,MAT_01,529,5726
2024-05-14,MAT_01,439,5287
2024-05-15,MAT_01,594,4693
2024-05-16,MAT_01,1221,3472
2024-05-17,MAT_01,1117,2355
2024-05-18,MAT_01,964,1391
2024-05-19,MAT_01,1054,337
2024-05-20,MAT_01,1301,0
2024-05-21,MAT_01,1366,0
2024-05-22,MAT_01,1364,0
2024-05-23,MAT_01,1238,4756
2024-05-24,MAT_01,377,4379
2024-05-25,MAT_01,368,4011
2024-05-26,MAT_01,398,3613
2024-05-27,MAT_01,475,3138
2024-05-28,MAT_01,505,2633
2024-05-29,MAT_01,552,2081
2024-05-30,MAT_01,498,1583
2024-05-31,MAT_01,821,762
2024-06-01,MAT_01,926,5830
2024-06-02,MAT_01,802,5028
2024-06-03,MAT_01,825,4203
2024-06-04,MAT_01,1087,3116
2024-06-05,MAT_01,1056,2060
2024-06-06,MAT_01,541,1519
2024-06-07,MAT_01,410,1109
2024-06-08,MAT_01,420,689
2024-06-09,MAT_01,332,357
2024-06-10,MAT_01,467,0
2024-06-11,MAT_01,475,5519
2024-06-12,MAT_01,437,5082
2024-06-13,MAT_01,498,4584
2024-06-14,MAT_01,331,4253
2024-06-15,MAT_01,293,3960
2024-06-16,MAT_01,394,3566
2024-06-17,MAT_01,447,3119
2024-06-18,MAT_01,508,2611
2024-06-19,MAT_01,509,2102
2024-06-20,MAT_01,504,1598
2024-06-21,MAT_01,420,1178
2024-06-22,MAT_01,352,6820
2024-06-23,MAT_01,364,6456
2024-06-24,MAT_01,401,6055
2024-06-25,MAT_01,469,5586
2024-06-26,MAT_01,424,5162
2024-06-27,MAT_01,447,4715
2024-06-28,MAT_01,376,4339
2024-06-29,MAT_01,357,3982
2024-06-30,MAT_01,366,3616
2024-07-01,MAT_01,302,3314
2024-07-02,MAT_01,410,2904
2024-07-03,MAT_01,451,2453
2024-07-04,MAT_01,419,2034
2024-07-05,MAT_01,378,1656
2024-07-06,MAT_01,346,7304
2024-07-07,MAT_01,404,6900
2024-07-08,MAT_01,401,6499
2024-07-09,MAT_01,421,6078
2024-07-10,MAT_01,380,5698
2024-07-11,MAT_01,355,5343
2024-07-12,MAT_01,377,4966
2024-07-13,MAT_01,364,4602
2024-07-14,MAT_01,393,4209
2024-07-15,MAT_01,344,3865
2024-07-16,MAT_01,410,3455
2024-07-17,MAT_01,441,3014
2024-07-18,MAT_01,479,2535
2024-07-19,MAT_01,349,2186
2024-07-20,MAT_01,372,1814
2024-07-21,MAT_01,327,1487
2024-07-22,MAT_01,411,7070
2024-07-23,MAT_01,451,6619
2024-07-24,MAT_01,427,6192
2024-07-25,MAT_01,346,5846
2024-07-26,MAT_01,322,5524
2024-07-27,MAT_01,358,5166
2024-07-28,MAT_01,344,4822
2024-07-29,MAT_01,337,4485
2024-07-30,MAT_01,386,4099
2024-07-31,MAT_01,340,3759
2024-08-01,MAT_01,433,3326
2024-08-02,MAT_01,357,2969
2024-08-03,MAT_01,283,2686
2024-08-04,MAT_01,306,2380
2024-08-05,MAT_01,257,2123
2024-08-06,MAT_01,370,7747
2024-08-07,MAT_01,453,7294
2024-08-08,MAT_01,405,6889
2024-08-09,MAT_01,325,6564
2024-08-10,MAT_01,278,6286
2024-08-11,MAT_01,320,5966
2024-08-12,MAT_01,323,5643
2024-08-13,MAT_01,313,5330
2024-08-14,MAT_01,390,4940
2024-08-15,MAT_01,372,4568
2024-08-16,MAT_01,348,4220
2024-08-17,MAT_01,212,4008
2024-08-18,MAT_01,275,3733
2024-08-19,MAT_01,323,3410
2024-08-20,MAT_01,327,3083
2024-08-21,MAT_01,401,2682
2024-08-22,MAT_01,378,2304
2024-08-23,MAT_01,284,2020
2024-08-24,MAT_01,344,1676
2024-08-25,MAT_01,259,1417
2024-08-26,MAT_01,300,1117
2024-08-27,MAT_01,345,772
2024-08-28,MAT_01,342,6424
2024-08-29,MAT_01,319,6105
2024-08-30,MAT_01,231,5874
2024-08-31,MAT_01,247,5627
2024-09-01,MAT_01,268,5359
2024-09-02,MAT_01,220,5139
2024-09-03,MAT_01,354,4785
2024-09-04,MAT_01,370,4415
2024-09-05,MAT_01,356,4059
2024-09-06,MAT_01,331,3728
2024-09-07,MAT_01,284,3444
2024-09-08,MAT_01,236,3208
2024-09-09,MAT_01,277,2931
2024-09-10,MAT_01,376,2555
2024-09-11,MAT_01,342,2213
2024-09-12,MAT_01,282,7925
2024-09-13,MAT_01,373,7552
2024-09-14,MAT_01,233,7319
2024-09-15,MAT_01,231,7088
2024-09-16,MAT_01,215,6873
2024-09-17,MAT_01,383,6490
2024-09-18,MAT_01,321,6169
2024-09-19,MAT_01,329,5840
2024-09-20,MAT_01,314,5526
2024-09-21,MAT_01,204,5322
2024-09-22,MAT_01,257,5065
2024-09-23,MAT_01,362,4703
2024-09-24,MAT_01,249,4454
2024-09-25,MAT_01,326,4128
2024-09-26,MAT_01,290,3838
2024-09-27,MAT_01,266,3572
2024-09-28,MAT_01,239,3333
2024-09-29,MAT_01,210,3123
2024-09-30,MAT_01,274,2849
2024-10-01,MAT_01,316,2533
2024-10-02,MAT_01,344,8183
2024-10-03,MAT_01,335,7848
2024-10-04,MAT_01,310,7538
2024-10-05,MAT_01,284,7254
2024-10-06,MAT_01,279,6975
2024-10-07,MAT_01,265,6710
2024-10-08,MAT_01,347,6363
2024-10-09,MAT_01,454,5909
2024-10-10,MAT_01,368,5541
2024-10-11,MAT_01,258,5283
2024-10-12,MAT_01,306,4977
2024-10-13,MAT_01,240,4737
2024-10-14,MAT_01,276,4461
2024-10-15,MAT_01,405,4056
2024-10-16,MAT_01,309,3747
2024-10-17,MAT_01,253,3494
2024-10-18,MAT_01,316,3178
2024-10-19,MAT_01,247,2931
2024-10-20,MAT_01,263,2668
2024-10-21,MAT_01,291,2377
2024-10-22,MAT_01,344,8027
2024-10-23,MAT_01,347,7680
2024-10-24,MAT_01,309,7371
2024-10-25,MAT_01,267,7104
2024-10-26,MAT_01,234,6870
2024-10-27,MAT_01,230,6640
2024-10-28,MAT_01,289,6351
2024-10-29,MAT_01,258,6093
2024-10-30,MAT_01,398,5695
2024-10-31,MAT_01,355,5340
2024-11-01,MAT_01,284,5056
2024-11-02,MAT_01,266,4790
2024-11-03,MAT_01,280,4510
2024-11-04,MAT_01,288,4222
2024-11-05,MAT_01,343,3879
2024-11-06,MAT_01,398,3481
2024-11-07,MAT_01,354,3127
2024-11-08,MAT_01,376,2751
2024-11-09,MAT_01,328,2423
2024-11-10,MAT_01,313,2110
2024-11-11,MAT_01,293,1817
2024-11-12,MAT_01,349,7462
2024-11-13,MAT_01,345,7117
2024-11-14,MAT_01,365,6752
2024-11-15,MAT_01,193,6559
2024-11-16,MAT_01,253,6306
2024-11-17,MAT_01,272,6034
2024-11-18,MAT_01,271,5763
2024-11-19,MAT_01,412,5351
2024-11-20,MAT_01,348,5003
2024-11-21,MAT_01,373,4630
2024-11-22,MAT_01,423,4207
2024-11-23,MAT_01,216,3991
2024-11-24,MAT_01,287,3704
2024-11-25,MAT_01,325,3379
2024-11-26,MAT_01,366,3013
2024-11-27,MAT_01,433,2580
2024-11-28,MAT_01,416,2164
2024-11-29,MAT_01,352,1812
2024-11-30,MAT_01,261,7545
2024-12-01,MAT_01,401,7144
2024-12-02,MAT_01,281,6863
2024-12-03,MAT_01,359,6504
2024-12-04,MAT_01,420,6084
2024-12-05,MAT_01,386,5698
2024-12-06,MAT_01,351,5347
2024-12-07,MAT_01,364,4983
2024-12-08,MAT_01,309,4674
2024-12-09,MAT_01,367,4307
2024-12-10,MAT_01,387,3920
2024-12-11,MAT_01,448,3472
2024-12-12,MAT_01,381,3091
2024-12-13,MAT_01,330,2761
2024-12-14,MAT_01,334,2427
2024-12-15,MAT_01,367,2060
2024-12-16,MAT_01,286,1774
2024-12-17,MAT_01,437,7331
2024-12-18,MAT_01,425,6906
2024-12-19,MAT_01,443,6463
2024-12-20,MAT_01,345,6118
2024-12-21,MAT_01,376,5742
2024-12-22,MAT_01,310,5432
2024-12-23,MAT_01,297,5135
2024-12-24,MAT_01,477,4658
2024-12-25,MAT_01,414,4244
2024-12-26,MAT_01,354,3890
2024-12-27,MAT_01,367,3523
2024-12-28,MAT_01,326,3197
2024-12-29,MAT_01,382,2815
2024-12-30,MAT_01,434,2381
2024-12-31,MAT_01,450,1931
2025-01-01,MAT_01,424,1507
2025-01-02,MAT_01,441,7060
2025-01-03,MAT_01,385,6675
2025-01-04,MAT_01,371,6304
2025-01-05,MAT_01,326,5978
2025-01-06,MAT_01,394,5584
2025-01-07,MAT_01,479,5105
2025-01-08,MAT_01,1526,3579
2025-01-09,MAT_01,1404,2175
2025-01-10,MAT_01,1153,1022
2025-01-11,MAT_01,996,26
2025-01-12,MAT_01,1139,0
2025-01-13,MAT_01,1107,0
2025-01-14,MAT_01,1281,0
2025-01-15,MAT_01,544,5450
2025-01-16,MAT_01,469,4981
2025-01-17,MAT_01,389,4592
2025-01-18,MAT_01,405,4187
2025-01-19,MAT_01,436,3751
2025-01-20,MAT_01,416,3335
2025-01-21,MAT_01,465,2870
2025-01-22,MAT_01,473,2397
2025-01-23,MAT_01,503,1894
2025-01-24,MAT_01,453,1441
2025-01-25,MAT_01,438,6997
2025-01-26,MAT_01,436,6561
2025-01-27,MAT_01,379,6182
2025-01-28,MAT_01,504,5678
2025-01-29,MAT_01,464,5214
2025-01-30,MAT_01,454,4760
2025-01-31,MAT_01,431,4329
2025-02-01,MAT_01,427,3902
2025-02-02,MAT_01,371,3531
2025-02-03,MAT_01,362,3169
2025-02-04,MAT_01,510,2659
2025-02-05,MAT_01,622,2037
2025-02-06,MAT_01,477,1560
2025-02-07,MAT_01,436,1124
2025-02-08,MAT_01,475,6643
2025-02-09,MAT_01,440,6203
2025-02-10,MAT_01,473,5730
2025-02-11,MAT_01,530,5200
2025-02-12,MAT_01,535,4665
2025-02-13,MAT_01,449,4216
2025-02-14,MAT_01,390,3826
2025-02-15,MAT_01,488,3338
2025-02-16,MAT_01,432,2906
2025-02-17,MAT_01,477,2429
2025-02-18,MAT_01,518,1911
2025-02-19,MAT_01,565,1346
2025-02-20,MAT_01,604,742
2025-02-21,MAT_01,473,6263
2025-02-22,MAT_01,397,5866
2025-02-23,MAT_01,427,5439
2025-02-24,MAT_01,524,4915
2025-02-25,MAT_01,505,4410
2025-02-26,MAT_01,575,3835
2025-02-27,MAT_01,417,3418
2025-02-28,MAT_01,449,2969
2025-03-01,MAT_01,452,2517
2025-03-02,MAT_01,490,2027
2025-03-03,MAT_01,454,1573
2025-03-04,MAT_01,475,1098
2025-03-05,MAT_01,537,6555
2025-03-06,MAT_01,471,6084
2025-03-07,MAT_01,458,5626
2025-03-08,MAT_01,432,5194
2025-03-09,MAT_01,392,4802
2025-03-10,MAT_01,524,4278
2025-03-11,MAT_01,534,3744
2025-03-12,MAT_01,595,3149
2025-03-13,MAT_01,446,2703
2025-03-14,MAT_01,428,2275
2025-03-15,MAT_01,457,1818
2025-03-16,MAT_01,417,1401
2025-03-17,MAT_01,490,911
2025-03-18,MAT_01,543,6362
2025-03-19,MAT_01,562,5800
2025-03-20,MAT_01,496,5304
2025-03-21,MAT_01,478,4826
2025-03-22,MAT_01,408,4418
2025-03-23,MAT_01,478,3940
2025-03-24,MAT_01,494,3446
2025-03-25,MAT_01,552,2894
2025-03-26,MAT_01,660,2234
2025-03-27,MAT_01,481,1753
2025-03-28,MAT_01,529,1224
2025-03-29,MAT_01,335,889
2025-03-30,MAT_01,370,6513
2025-03-31,MAT_01,450,6063
2025-04-01,MAT_01,499,5564
2025-04-02,MAT_01,566,4998
2025-04-03,MAT_01,537,4461
2025-04-04,MAT_01,463,3998
2025-04-05,MAT_01,435,3563
2025-04-06,MAT_01,473,3090
2025-04-07,MAT_01,532,2558
2025-04-08,MAT_01,493,2065
2025-04-09,MAT_01,543,1522
2025-04-10,MAT_01,522,1000
2025-04-11,MAT_01,492,6502
2025-04-12,MAT_01,409,6093
2025-04-13,MAT_01,447,5646
2025-04-14,MAT_01,498,5148
2025-04-15,MAT_01,515,4633
2025-04-16,MAT_01,526,4107
2025-04-17,MAT_01,526,3581
2025-04-18,MAT_01,464,3117
2025-04-19,MAT_01,456,2661
2025-04-20,MAT_01,405,2256
2025-04-21,MAT_01,480,1776
2025-04-22,MAT_01,531,1245
2025-04-23,MAT_01,584,6655
2025-04-24,MAT_01,480,6175
2025-04-25,MAT_01,475,5700
2025-04-26,MAT_01,442,5258
2025-04-27,MAT_01,509,4749
2025-04-28,MAT_01,449,4300
2025-04-29,MAT_01,509,3791
2025-04-30,MAT_01,509,3282
2025-05-01,MAT_01,446,2836
2025-05-02,MAT_01,530,2306
2025-05-03,MAT_01,950,1356
2025-05-04,MAT_01,1020,336
2025-05-05,MAT_01,1351,0
2025-05-06,MAT_01,1157,4837
2025-05-07,MAT_01,1437,3400
2025-05-08,MAT_01,1134,2266
2025-05-09,MAT_01,1268,998
2025-05-10,MAT_01,840,158
2025-05-11,MAT_01,360,0
2025-05-12,MAT_01,454,0
2025-05-13,MAT_01,561,0
2025-05-14,MAT_01,531,0
2025-05-15,MAT_01,485,0
2025-05-16,MAT_01,499,0
2025-05-17,MAT_01,498,0
2025-05-18,MAT_01,449,0
2025-05-19,MAT_01,443,0
2025-05-20,MAT_01,497,0
2025-05-21,MAT_01,472,0
2025-05-22,MAT_01,494,5500
2025-05-23,MAT_01,371,5129
2025-05-24,MAT_01,425,4704
2025-05-25,MAT_01,493,4211
2025-05-26,MAT_01,487,3724
2025-05-27,MAT_01,485,3239
2025-05-28,MAT_01,535,2704
2025-05-29,MAT_01,545,2159
2025-05-30,MAT_01,489,1670
2025-05-31,MAT_01,353,1317
2025-06-01,MAT_01,423,894
2025-06-02,MAT_01,442,6446
2025-06-03,MAT_01,526,5920
2025-06-04,MAT_01,519,5401
2025-06-05,MAT_01,375,5026
2025-06-06,MAT_01,402,4624
2025-06-07,MAT_01,390,4234
2025-06-08,MAT_01,335,3899
2025-06-09,MAT_01,461,3438
2025-06-10,MAT_01,422,3016
2025-06-11,MAT_01,461,2555
2025-06-12,MAT_01,512,2043
2025-06-13,MAT_01,370,1673
2025-06-14,MAT_01,394,1279
2025-06-15,MAT_01,311,6962
2025-06-16,MAT_01,509,6453
2025-06-17,MAT_01,459,5994
2025-06-18,MAT_01,485,5509
2025-06-19,MAT_01,454,5055
2025-06-20,MAT_01,418,4637
2025-06-21,MAT_01,298,4339
2025-06-22,MAT_01,369,3970
2025-06-23,MAT_01,388,3582
2025-06-24,MAT_01,392,3190
2025-06-25,MAT_01,509,2681
2025-06-26,MAT_01,421,2260
2025-06-27,MAT_01,391,1869
2025-06-28,MAT_01,354,1515
2025-06-29,MAT_01,344,7165
2025-06-30,MAT_01,481,6684
2025-07-01,MAT_01,445,6239
2025-07-02,MAT_01,395,5844
2025-07-03,MAT_01,407,5437
2025-07-04,MAT_01,389,5048
2025-07-05,MAT_01,356,4692
2025-07-06,MAT_01,302,4390
2025-07-07,MAT_01,427,3963
2025-07-08,MAT_01,365,3598
2025-07-09,MAT_01,491,3107
2025-07-10,MAT_01,358,2749
2025-07-11,MAT_01,348,2401
2025-07-12,MAT_01,366,2035
2025-07-13,MAT_01,338,1697
2025-07-14,MAT_01,411,7280
2025-07-15,MAT_01,448,6832
2025-07-16,MAT_01,485,6347
2025-07-17,MAT_01,442,5905
2025-07-18,MAT_01,327,5578
2025-07-19,MAT_01,337,5241
2025-07-20,MAT_01,260,4981
2025-07-21,MAT_01,364,4617
2025-07-22,MAT_01,445,4172
2025-07-23,MAT_01,427,3745
2025-07-24,MAT_01,406,3339
2025-07-25,MAT_01,326,3013
2025-07-26,MAT_01,345,2668
2025-07-27,MAT_01,307,2361
2025-07-28,MAT_01,337,2024
2025-07-29,MAT_01,436,7582
2025-07-30,MAT_01,355,7227
2025-07-31,MAT_01,397,6830
2025-08-01,MAT_01,282,6548
2025-08-02,MAT_01,341,6207
2025-08-03,MAT_01,289,5918
2025-08-04,MAT_01,351,5567
2025-08-05,MAT_01,407,5160
2025-08-06,MAT_01,324,4836
2025-08-07,MAT_01,341,4495
2025-08-08,MAT_01,355,4140
2025-08-09,MAT_01,314,3826
2025-08-10,MAT_01,301,3525
2025-08-11,MAT_01,282,3243
2025-08-12,MAT_01,404,2839
2025-08-13,MAT_01,420,2419
2025-08-14,MAT_01,360,2059
2025-08-15,MAT_01,353,7700
2025-08-16,MAT_01,243,7457
2025-08-17,MAT_01,261,7196
2025-08-18,MAT_01,227,6969
2025-08-19,MAT_01,409,6560
2025-08-20,MAT_01,395,6165
2025-08-21,MAT_01,282,5883
2025-08-22,MAT_01,226,5657
2025-08-23,MAT_01,228,5429
2025-08-24,MAT_01,305,5124
2025-08-25,MAT_01,307,4817
2025-08-26,MAT_01,333,4484
2025-08-27,MAT_01,335,4149
2025-08-28,MAT_01,300,3849
2025-08-29,MAT_01,212,3637
2025-08-30,MAT_01,208,3429
2025-08-31,MAT_01,224,3205
2025-09-01,MAT_01,340,2865
2025-09-02,MAT_01,352,2513
2025-09-03,MAT_01,336,8171
2025-09-04,MAT_01,428,7743
2025-09-05,MAT_01,257,7486
2025-09-06,MAT_01,297,7189
2025-09-07,MAT_01,326,6863
2025-09-08,MAT_01,245,6618
2025-09-09,MAT_01,356,6262
2025-09-10,MAT_01,344,5918
2025-09-11,MAT_01,308,5610
2025-09-12,MAT_01,301,5309
2025-09-13,MAT_01,221,5088
2025-09-14,MAT_01,237,4851
2025-09-15,MAT_01,297,4554
2025-09-16,MAT_01,335,4219
2025-09-17,MAT_01,314,3905
2025-09-18,MAT_01,360,3545
2025-09-19,MAT_01,318,3227
2025-09-20,MAT_01,257,2970
2025-09-21,MAT_01,239,2731
2025-09-22,MAT_01,273,2458
2025-09-23,MAT_01,319,2139
2025-09-24,MAT_01,453,7680
2025-09-25,MAT_01,364,7316
2025-09-26,MAT_01,240,7076
2025-09-27,MAT_01,248,6828
2025-09-28,MAT_01,238,6590
2025-09-29,MAT_01,323,6267
2025-09-30,MAT_01,368,5899
2025-10-01,MAT_01,401,5498
2025-10-02,MAT_01,292,5206
2025-10-03,MAT_01,278,4928
2025-10-04,MAT_01,172,4756
2025-10-05,MAT_01,203,4553
2025-10-06,MAT_01,335,4218
2025-10-07,MAT_01,309,3909
2025-10-08,MAT_01,325,3584
2025-10-09,MAT_01,326,3258
2025-10-10,MAT_01,303,2955
2025-10-11,MAT_01,200,2755
2025-10-12,MAT_01,116,2639
2025-10-13,MAT_01,267,2372
2025-10-14,MAT_01,397,7969
2025-10-15,MAT_01,375,7594
2025-10-16,MAT_01,382,7212
2025-10-17,MAT_01,232,6980
2025-10-18,MAT_01,180,6800
2025-10-19,MAT_01,276,6524
2025-10-20,MAT_01,315,6209
2025-10-21,MAT_01,365,5844
2025-10-22,MAT_01,402,5442
2025-10-23,MAT_01,350,5092
2025-10-24,MAT_01,298,4794
2025-10-25,MAT_01,278,4516
2025-10-26,MAT_01,282,4234
2025-10-27,MAT_01,344,3890
2025-10-28,MAT_01,398,3492
2025-10-29,MAT_01,431,3061
2025-10-30,MAT_01,312,2749
2025-10-31,MAT_01,306,2443
2025-11-01,MAT_01,241,2202
2025-11-02,MAT_01,235,1967
2025-11-03,MAT_01,288,7673
2025-11-04,MAT_01,383,7290
2025-11-05,MAT_01,393,6897
2025-11-06,MAT_01,361,6536
2025-11-07,MAT_01,285,6251
2025-11-08,MAT_01,262,5989
2025-11-09,MAT_01,307,5682
2025-11-10,MAT_01,263,5419
2025-11-11,MAT_01,372,5047
2025-11-12,MAT_01,387,4660
2025-11-13,MAT_01,382,4278
2025-11-14,MAT_01,247,4031
2025-11-15,MAT_01,330,3701
2025-11-16,MAT_01,291,3410
2025-11-17,MAT_01,342,3068
2025-11-18,MAT_01,363,2705
2025-11-19,MAT_01,413,2292
2025-11-20,MAT_01,363,1929
2025-11-21,MAT_01,358,7565
2025-11-22,MAT_01,221,7344
2025-11-23,MAT_01,299,7045
2025-11-24,MAT_01,651,6394
2025-11-25,MAT_01,695,5699
2025-11-26,MAT_01,703,4996
2025-11-27,MAT_01,649,4347
2025-11-28,MAT_01,596,3751
2025-11-29,MAT_01,395,3356
2025-11-30,MAT_01,341,3015
2025-12-01,MAT_01,331,2684
2025-12-02,MAT_01,404,2280
2025-12-03,MAT_01,426,1854
2025-12-04,MAT_01,360,1494
2025-12-05,MAT_01,325,7163
2025-12-06,MAT_01,218,6945
2025-12-07,MAT_01,342,6603
2025-12-08,MAT_01,404,6199
2025-12-09,MAT_01,342,5857
2025-12-10,MAT_01,406,5451
2025-12-11,MAT_01,343,5108
2025-12-12,MAT_01,334,4774
2025-12-13,MAT_01,337,4437
2025-12-14,MAT_01,363,4074
2025-12-15,MAT_01,417,3657
2025-12-16,MAT_01,473,3184
2025-12-17,MAT_01,425,2759
2025-12-18,MAT_01,358,2401
2025-12-19,MAT_01,349,2052
2025-12-20,MAT_01,348,1704
2025-12-21,MAT_01,287,7411
2025-12-22,MAT_01,451,6960
2025-12-23,MAT_01,469,6491
2025-12-24,MAT_01,438,6053
2025-12-25,MAT_01,387,5666
2025-12-26,MAT_01,338,5328
2025-12-27,MAT_01,337,4991
2025-12-28,MAT_01,338,4653
2025-12-29,MAT_01,434,4219
2025-12-30,MAT_01,431,3788
2024-01-01,MAT_02,468,4210
2024-01-02,MAT_02,498,3712
2024-01-03,MAT_02,527,3185
2024-01-04,MAT_02,470,2715
2024-01-05,MAT_02,456,2259
2024-01-06,MAT_02,422,1837
2024-01-07,MAT_02,425,1412
2024-01-08,MAT_02,486,926
2024-01-09,MAT_02,471,7138
2024-01-10,MAT_02,542,6596
2024-01-11,MAT_02,549,6047
2024-01-12,MAT_02,459,5588
2024-01-13,MAT_02,357,5231
2024-01-14,MAT_02,416,4815
2024-01-15,MAT_02,489,4326
2024-01-16,MAT_02,493,3833
2024-01-17,MAT_02,480,3353
2024-01-18,MAT_02,493,2860
2024-01-19,MAT_02,418,2442
2024-01-20,MAT_02,416,2026
2024-01-21,MAT_02,360,1666
2024-01-22,MAT_02,510,1156
2024-01-23,MAT_02,511,645
2024-01-24,MAT_02,598,6730
2024-01-25,MAT_02,507,6223
2024-01-26,MAT_02,462,5761
2024-01-27,MAT_02,421,5340
2024-01-28,MAT_02,413,4927
2024-01-29,MAT_02,607,4320
2024-01-30,MAT_02,529,3791
2024-01-31,MAT_02,611,3180
2024-02-01,MAT_02,482,2698
2024-02-02,MAT_02,491,2207
2024-02-03,MAT_02,462,1745
2024-02-04,MAT_02,454,1291
2024-02-05,MAT_02,483,808
2024-02-06,MAT_02,551,6940
2024-02-07,MAT_02,559,6381
2024-02-08,MAT_02,649,5732
2024-02-09,MAT_02,485,5247
2024-02-10,MAT_02,475,4772
2024-02-11,MAT_02,545,4227
2024-02-12,MAT_02,480,3747
2024-02-13,MAT_02,575,3172
2024-02-14,MAT_02,575,2597
2024-02-15,MAT_02,549,2048
2024-02-16,MAT_02,488,1560
